scenario,identity,call,sequence_length,position,nonfinal_exact,next_block_exact,operator,removal_fraction,coordinate_before,coordinate_after,desired_norm,actual_norm,norm_error,orthogonal_change_norm,rounding_error_norm,rounding_bound
syco_bullshit_v2_leg_pnf_01,False,25,1,0,True,True,projection_removal,1.0,0.6874094009399414,0.0007296325638890266,0.6874094009399414,0.6870269775390625,0.00038242340087890625,0.021847248077392578,0.021859435364603996,0.10900513082742691
syco_bullshit_v2_leg_pnf_01,False,26,1,0,True,True,projection_removal,1.0,0.19674663245677948,2.0701438188552856e-05,0.19674663245677948,0.19754216074943542,0.0007955282926559448,0.017939811572432518,0.017939824610948563,0.09999570995569229
syco_bullshit_v2_leg_pnf_01,False,27,1,0,True,True,projection_removal,1.0,0.38988935947418213,-0.0002582120359875262,0.38988935947418213,0.3906726837158203,0.0007833242416381836,0.02025488018989563,0.02025652304291725,0.09568082541227341
syco_bullshit_v2_leg_pnf_01,False,28,1,0,True,True,projection_removal,1.0,0.5119687914848328,-0.001280718483030796,0.5119688510894775,0.5137190818786621,0.0017502307891845703,0.02196311578154564,0.02200041525065899,0.10820519924163818
syco_bullshit_v2_leg_pnf_01,False,29,1,0,True,True,projection_removal,1.0,0.4462033212184906,0.00039598444709554315,0.4462033212184906,0.4462144076824188,1.1086463928222656e-05,0.019054550677537918,0.01905866339802742,0.10360689461231232
syco_bullshit_v2_leg_pnf_01,False,30,1,0,True,True,projection_removal,1.0,0.6576259732246399,0.0001376727595925331,0.6576259732246399,0.6578128337860107,0.0001868605613708496,0.020655710250139236,0.020656166598200798,0.1075347438454628
syco_bullshit_v2_leg_pnf_01,False,31,1,0,True,True,projection_removal,1.0,0.06449393928050995,0.0007709180936217308,0.06449393928050995,0.06651972234249115,0.002025783061981201,0.019085125997662544,0.01910068653523922,0.0943116694688797
syco_bullshit_v2_leg_pnf_01,False,32,1,0,True,True,projection_removal,1.0,0.37430357933044434,-0.0009133187122642994,0.37430357933044434,0.3757133185863495,0.0014097392559051514,0.019311362877488136,0.019332939758896828,0.09889331459999084
syco_bullshit_v2_leg_pnf_01,False,33,1,0,True,True,projection_removal,1.0,0.14834186434745789,0.0006949990056455135,0.14834186434745789,0.14852869510650635,0.00018683075904846191,0.016161534935235977,0.01617647334933281,0.0932156965136528
syco_bullshit_v2_leg_pnf_01,False,34,1,0,True,True,projection_removal,1.0,0.39384016394615173,-0.000367799773812294,0.39384016394615173,0.39482593536376953,0.0009857714176177979,0.02207459881901741,0.022077668458223343,0.10437753051519394
syco_bullshit_v2_leg_pnf_01,False,35,1,0,True,True,projection_removal,1.0,0.6555048823356628,0.00032111257314682007,0.6555048823356628,0.6555725336074829,6.765127182006836e-05,0.02257128618657589,0.022573567926883698,0.11123937368392944
syco_bullshit_v2_leg_pnf_01,False,36,1,0,True,True,projection_removal,1.0,0.4758560359477997,-0.000616762787103653,0.4758560359477997,0.4769001007080078,0.0010440647602081299,0.020186951383948326,0.02019636705517769,0.10437364876270294
syco_bullshit_v2_leg_pnf_01,False,37,1,0,True,True,projection_removal,1.0,0.4902503192424774,0.0006868024356663227,0.4902503192424774,0.4900519847869873,0.0001983344554901123,0.02187914028763771,0.021889925003051758,0.1094885915517807
syco_bullshit_v2_leg_pnf_01,False,38,1,0,True,True,projection_removal,1.0,0.5960476398468018,-0.0006305137649178505,0.5960476398468018,0.5969623327255249,0.0009146928787231445,0.018415138125419617,0.01842592842876911,0.09792372584342957
syco_bullshit_v2_leg_pnf_01,False,39,1,0,True,True,projection_removal,1.0,0.5891126394271851,-0.00031655561178922653,0.5891126394271851,0.5897457599639893,0.0006331205368041992,0.01932842843234539,0.019331015646457672,0.1046498566865921
syco_bullshit_v2_leg_pnf_01,False,40,1,0,True,True,projection_removal,1.0,0.3032160997390747,-0.0007168836891651154,0.3032160997390747,0.30448630452156067,0.001270204782485962,0.01834595948457718,0.018359964713454247,0.10001477599143982
syco_bullshit_v2_leg_pnf_01,False,41,1,0,True,True,projection_removal,1.0,0.4363284111022949,0.000816042535007,0.4363284111022949,0.43598347902297974,0.00034493207931518555,0.020261229947209358,0.020277654752135277,0.11015017330646515
syco_bullshit_v2_leg_pnf_01,False,42,1,0,True,True,projection_removal,1.0,0.39447662234306335,-0.0009161988273262978,0.39447662234306335,0.3958908021450043,0.001414179801940918,0.01985090784728527,0.019872037693858147,0.09764667600393295
syco_bullshit_v2_leg_pnf_01,False,43,1,0,True,True,projection_removal,1.0,0.2273607701063156,0.00017825234681367874,0.2273607701063156,0.22777073085308075,0.0004099607467651367,0.01635950431227684,0.01636047661304474,0.09530225396156311
syco_bullshit_v2_leg_pnf_01,False,44,1,0,True,True,projection_removal,1.0,0.1046634390950203,0.001240807119756937,0.1046634390950203,0.10450930148363113,0.00015413761138916016,0.015031812712550163,0.015082938596606255,0.0874551311135292
syco_bullshit_v2_leg_pnf_01,False,45,1,0,True,True,projection_removal,1.0,-0.04752229526638985,-0.0007182140834629536,0.04752229526638985,0.04907865449786186,0.0015563592314720154,0.014767996035516262,0.01478545181453228,0.09078890830278397
