scenario,condition,layer,changed_positions,positions,final_changed,final_patch_norm,patch_norm_mean,target_gap,final_coordinates_before,final_coordinates_after,final_gap_error,max_coordinate_sum_error
syco_bullshit_v2_sw_pnf_03,old_plus,13,39,69,True,1.5460702180862427,0.3063863217830658,4.556610018014908,"[-0.576717734336853, 0.9829767346382141]","[0.9824738502502441, -0.5780085921287537]",2.9961276054382324,0.0017937421798706055
syco_bullshit_v2_sw_pnf_03,old_plus,14,0,69,False,0.0,0.0,5.414298117160797,"[0.9419994950294495, -0.8963330984115601]","[0.9419994950294495, -0.8963330984115601]",3.575965404510498,0.0
syco_bullshit_v2_sw_pnf_03,old_plus,15,60,69,False,0.0,0.38394424319267273,6.172635734081268,"[-0.09609000384807587, -0.4296473264694214]","[-0.09609000384807587, -0.4296473264694214]",5.839078426361084,0.005496382713317871
syco_bullshit_v2_sw_pnf_03,old_plus,16,52,69,False,0.0,0.24213899672031403,7.123698949813843,"[-0.3416428864002228, -0.37818995118141174]","[-0.3416428864002228, -0.37818995118141174]",7.087152004241943,0.005809664726257324
syco_bullshit_v2_sw_pnf_03,old_plus,17,24,69,False,0.0,0.06006893143057823,8.476953744888306,"[-0.6305071711540222, -0.6437557935714722]","[-0.6305071711540222, -0.6437557935714722]",8.463705062866211,0.004975795745849609
syco_bullshit_v2_sw_pnf_03,old_plus,18,1,69,True,0.2722276747226715,0.003945328760892153,9.429186582565308,"[-1.1615673303604126, -0.9468539953231812]","[-0.9466345906257629, -1.1602795124053955]",9.21554183959961,0.0015072822570800781
syco_bullshit_v2_sw_pnf_03,old_plus,19,66,69,True,3.3933968544006348,1.349838137626648,8.398379564285278,"[-3.0506041049957275, -0.37755879759788513]","[-0.37797820568084717, -3.050922393798828]",5.725435256958008,0.008243560791015625
syco_bullshit_v2_sw_pnf_03,old_plus,20,15,69,False,0.0,0.07196314632892609,10.019581198692322,"[-0.7692188620567322, -2.5060272216796875]","[-0.7692188620567322, -2.5060272216796875]",8.282772064208984,0.0034939348697662354
syco_bullshit_v2_sw_pnf_03,old_plus,21,47,69,False,0.0,0.4899396002292633,11.533475756645203,"[-0.30170896649360657, -2.0421078205108643]","[-0.30170896649360657, -2.0421078205108643]",9.79307746887207,0.004495680332183838
syco_bullshit_v2_sw_pnf_03,old_minus,13,30,69,False,0.0,0.11577490717172623,-4.69693386554718,"[-0.576717734336853, 0.9829767346382141]","[-0.576717734336853, 0.9829767346382141]",3.1372392177581787,0.001055002212524414
syco_bullshit_v2_sw_pnf_03,old_minus,14,59,69,False,0.0,0.916330099105835,-3.869912028312683,"[-0.4311237335205078, 0.47816434502601624]","[-0.4311237335205078, 0.47816434502601624]",2.9606242179870605,0.003755807876586914
