scenario,condition,layer,distance_to_bare,distance_to_donor,donor_bare_distance,donor_delta_coefficient,coordinates
syco_bullshit_v2_leg_pnf_01,full_minus,21,9.531228065490723,14.167823791503906,19.443693161010742,0.35467416048049927,"[-3.4486300945281982, 3.877690076828003]"
syco_bullshit_v2_leg_pnf_01,full_minus,22,10.960180282592773,16.560728073120117,21.934947967529297,0.3398266136646271,
syco_bullshit_v2_leg_pnf_01,full_minus,23,11.55823040008545,18.75977897644043,24.339872360229492,0.31572771072387695,
syco_bullshit_v2_leg_pnf_01,full_minus,24,12.362669944763184,20.620512008666992,26.84679412841797,0.3110511898994446,
syco_bullshit_v2_leg_pnf_01,full_minus,25,12.991911888122559,21.91400909423828,28.68246078491211,0.31072068214416504,
syco_bullshit_v2_leg_pnf_01,full_minus,26,14.622509956359863,23.160320281982422,29.758405685424805,0.3178657591342926,
syco_bullshit_v2_leg_pnf_01,full_minus,27,14.78392505645752,26.87104034423828,34.50670623779297,0.2885769009590149,
syco_bullshit_v2_leg_pnf_01,full_minus,28,15.61777114868164,30.749752044677734,38.610389709472656,0.264673113822937,
syco_bullshit_v2_leg_pnf_01,full_minus,29,16.95009422302246,34.04888916015625,42.21786117553711,0.25537291169166565,
syco_bullshit_v2_leg_pnf_01,full_minus,30,18.02426528930664,38.0439453125,46.564292907714844,0.2411561757326126,
syco_bullshit_v2_leg_pnf_01,full_minus,31,19.26026153564453,43.19253158569336,52.486629486083984,0.22872599959373474,
syco_bullshit_v2_leg_pnf_01,projected_minus,17,2.387186050415039,6.360174179077148,6.794172763824463,0.12356409430503845,"[-1.7240331172943115, 2.7520501613616943]"
syco_bullshit_v2_leg_pnf_01,projected_minus,18,2.316938877105713,9.823452949523926,10.138279914855957,0.0566849485039711,"[-1.8415489196777344, 1.8236461877822876]"
syco_bullshit_v2_leg_pnf_01,projected_minus,19,2.2948460578918457,15.696359634399414,15.687200546264648,0.010115954093635082,"[-3.099461078643799, 1.874517560005188]"
syco_bullshit_v2_leg_pnf_01,projected_minus,20,2.2927536964416504,16.80671501159668,16.75885581970215,0.006498388946056366,"[-2.8479528427124023, 2.051034927368164]"
